epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0003,0,,,,,,,,,,
,,49,,,470.076322555542,,,,,,,
,,49,,7.674455642700195,,,,,,,,
0,,49,,,,0.6924087405204773,576.0,0.6924087405204773,-20.3001708984375,-22.856679916381836,,
,,99,,,449.38039779663086,,,,,,,
,,99,,25.011777877807617,,,,,,,,
0,,99,,,,0.6921983957290649,576.0,0.6921983957290649,-19.0960693359375,-21.070018768310547,,
,,149,,,434.1135025024414,,,,,,,
,,149,,6.329059600830078,,,,,,,,
0,,149,,,,0.6919539570808411,576.0,0.6919539570808411,-19.573013305664062,-21.847694396972656,,
,,199,,,469.18773651123047,,,,,,,
,,199,,23.91815185546875,,,,,,,,
0,,199,,,,0.6920049786567688,576.0,0.6920049786567688,-18.6075439453125,-20.79790687561035,,
,,249,,,488.4917736053467,,,,,,,
,,249,,9.331703186035156,,,,,,,,
0,,249,,,,0.69173264503479,576.0,0.69173264503479,-18.53573989868164,-21.745038986206055,,
,,299,,,506.81471824645996,,,,,,,
,,299,,28.34296226501465,,,,,,,,
0,,299,,,,0.69204181432724,576.0,0.69204181432724,-18.63711929321289,-21.31214714050293,,
,,349,,,483.47973823547363,,,,,,,
,,349,,8.350849151611328,,,,,,,,
0,,349,,,,0.6920614242553711,576.0,0.6920614242553711,-18.446334838867188,-20.753604888916016,,
,,399,,,519.4778442382812,,,,,,,
,,399,,27.745962142944336,,,,,,,,
0,,399,,,,0.6916751861572266,576.0,0.6916751861572266,-18.303325653076172,-21.689916610717773,,
,,449,,,562.7806186676025,,,,,,,
,,449,,9.736776351928711,,,,,,,,
0,,449,,,,0.6922637224197388,576.0,0.6922637224197388,-18.582120895385742,-21.517621994018555,,
,,499,,,534.4204902648926,,,,,,,
,,499,,28.16629409790039,,,,,,,,
0,,499,,,,0.6918312907218933,576.0,0.6918312907218933,-18.369518280029297,-22.167177200317383,,
,,549,,,520.8389759063721,,,,,,,
,,549,,9.020566940307617,,,,,,,,
0,,549,,,,0.6922390460968018,576.0,0.6922390460968018,-17.640588760375977,-20.407520294189453,,
,,599,,,507.0805549621582,,,,,,,
,,599,,27.146577835083008,,,,,,,,
0,,599,,,,0.6922064423561096,576.0,0.6922064423561096,-18.035324096679688,-20.812419891357422,,
,,649,,,514.500617980957,,,,,,,
,,649,,9.076356887817383,,,,,,,,
0,,649,,,,0.6917130351066589,576.0,0.6917130351066589,-17.95861053466797,-21.065576553344727,,
,,699,,,507.42387771606445,,,,,,,
,,699,,27.57096290588379,,,,,,,,
0,,699,,,,0.6914520263671875,576.0,0.6914520263671875,-18.01150131225586,-22.034374237060547,,
,,749,,,505.0981044769287,,,,,,,
,,749,,8.88824462890625,,,,,,,,
0,,749,,,,0.6915544867515564,576.0,0.6915544867515564,-17.984111785888672,-21.04663848876953,,
,,799,,,526.3032913208008,,,,,,,
,,799,,28.61785888671875,,,,,,,,
0,,799,,,,0.6921269297599792,576.0,0.6921269297599792,-17.86077117919922,-20.777414321899414,,
,,849,,,534.8057746887207,,,,,,,
,,849,,10.217905044555664,,,,,,,,
0,,849,,,,0.6917811036109924,576.0,0.6917811036109924,-18.142452239990234,-21.673418045043945,,
,,899,,,578.1121253967285,,,,,,,
,,899,,28.52654457092285,,,,,,,,
0,,899,,,,0.6909607648849487,576.0,0.6909607648849487,-18.54085922241211,-23.95564079284668,,
,,949,,,571.8023777008057,,,,,,,
,,949,,10.540008544921875,,,,,,,,
0,,949,,,,0.6901962161064148,576.0,0.6901962161064148,-18.16754722595215,-24.535165786743164,,
,,999,,,633.1522464752197,,,,,,,
,,999,,29.335975646972656,,,,,,,,
0,,999,,,,0.6920997500419617,576.0,0.6920997500419617,-17.609943389892578,-22.247846603393555,,
,,1049,,,676.7082214355469,,,,,,,
,,1049,,12.276411056518555,,,,,,,,
0,,1049,,,,0.6880014538764954,576.0,0.6880014538764954,-18.24770736694336,-26.3782958984375,,
,,1099,,,683.5641860961914,,,,,,,
,,1099,,28.831005096435547,,,,,,,,
0,,1099,,,,0.6922357082366943,576.0,0.6922357082366943,-17.487884521484375,-20.828346252441406,,
,,1149,,,715.7790660858154,,,,,,,
,,1149,,13.1378173828125,,,,,,,,
0,,1149,,,,0.6921044588088989,576.0,0.6921044588088989,-18.012304306030273,-22.85599136352539,,
,,1199,,,711.6870880126953,,,,,,,
,,1199,,29.486417770385742,,,,,,,,
0,,1199,,,,0.6901017427444458,576.0,0.6901017427444458,-18.147905349731445,-26.940814971923828,,
,,1249,,,715.0757312774658,,,,,,,
,,1249,,13.43846321105957,,,,,,,,
0,,1249,,,,0.6916284561157227,576.0,0.6916284561157227,-17.702045440673828,-25.283100128173828,,
,,1299,,,691.3836002349854,,,,,,,
,,1299,,30.985355377197266,,,,,,,,
0,,1299,,,,0.6924293637275696,576.0,0.6924293637275696,-18.17203140258789,-22.934555053710938,,
,,1349,,,726.3503074645996,,,,,,,
,,1349,,12.872934341430664,,,,,,,,
0,,1349,,,,0.6914930939674377,576.0,0.6914930939674377,-17.4644775390625,-25.442352294921875,,
,,1399,,,731.4071655273438,,,,,,,
,,1399,,31.404733657836914,,,,,,,,
0,,1399,,,,0.6925330758094788,576.0,0.6925330758094788,-18.222434997558594,-24.307470321655273,,
,,1449,,,731.0886383056641,,,,,,,
,,1449,,13.802051544189453,,,,,,,,
0,,1449,,,,0.6926010251045227,576.0,0.6926010251045227,-17.54620361328125,-21.820003509521484,,
,,1499,,,726.7796993255615,,,,,,,
,,1499,,31.406879425048828,,,,,,,,
0,,1499,,,,0.6925749182701111,576.0,0.6925749182701111,-17.773162841796875,-23.18557357788086,,
,,1549,,,716.8686389923096,,,,,,,
,,1549,,12.878179550170898,,,,,,,,
0,,1549,,,,0.6908815503120422,576.0,0.6908815503120422,-17.534107208251953,-25.31856346130371,,
0,,1562,,,,,,,,,-17.805021286010742,-21.84769630432129
,,1563,1137.8093597888947,,,,,,,,,
,0.0003,1563,,,,,,,,,,
,,1599,,,719.7129726409912,,,,,,,
,,1599,,31.42714500427246,,,,,,,,
1,,1599,,,,0.6859785914421082,576.0,0.6859785914421082,-17.75896453857422,-27.579397201538086,,
,,1649,,,706.5145969390869,,,,,,,
,,1649,,11.945009231567383,,,,,,,,
1,,1649,,,,0.6925230026245117,576.0,0.6925230026245117,-18.014156341552734,-23.87790298461914,,
,,1699,,,711.209774017334,,,,,,,
,,1699,,30.985116958618164,,,,,,,,
1,,1699,,,,0.6927412748336792,576.0,0.6927412748336792,-17.531322479248047,-22.403568267822266,,
,,1749,,,723.9477634429932,,,,,,,
,,1749,,12.468338012695312,,,,,,,,
1,,1749,,,,0.6917638778686523,576.0,0.6917638778686523,-17.72418212890625,-25.260780334472656,,
,,1799,,,710.5352878570557,,,,,,,
,,1799,,33.94770622253418,,,,,,,,
1,,1799,,,,0.6924899220466614,576.0,0.6924899220466614,-17.63787841796875,-25.336977005004883,,
,,1849,,,731.5878868103027,,,,,,,
,,1849,,13.296842575073242,,,,,,,,
1,,1849,,,,0.6920403242111206,576.0,0.6920403242111206,-17.400222778320312,-24.258441925048828,,
