epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/reward,val/max_aug_reward,val/max_reward,val/reward
,0.0003,0,,,,,,,,
,,49,,,214.5833969116211,,,,,
,,49,,2.0508766174316406,,,,,,
0,,49,,,,26747.599609375,-13.673659324645996,,,
,,99,,,196.33865356445312,,,,,
,,99,,16.013383865356445,,,,,,
0,,99,,,,26524.546875,-13.07773208618164,,,
,,149,,,201.71475410461426,,,,,
,,149,,1.894235610961914,,,,,,
0,,149,,,,26529.28125,-12.80700397491455,,,
,,199,,,206.39705657958984,,,,,
,,199,,16.2353515625,,,,,,
0,,199,,,,26383.859375,-12.868491172790527,,,
,,249,,,189.8367404937744,,,,,
,,249,,1.8906593322753906,,,,,,
0,,249,,,,26191.58203125,-12.466052055358887,,,
,,299,,,192.4149990081787,,,,,
,,299,,15.747308731079102,,,,,,
0,,299,,,,26452.970703125,-12.544272422790527,,,
,,349,,,198.41670989990234,,,,,
,,349,,3.805398941040039,,,,,,
0,,349,,,,26237.87890625,-12.294568061828613,,,
,,399,,,189.8188591003418,,,,,
,,399,,16.401290893554688,,,,,,
0,,399,,,,26259.392578125,-12.382768630981445,,,
,,449,,,208.85181427001953,,,,,
,,449,,1.875162124633789,,,,,,
0,,449,,,,25966.318359375,-12.331913948059082,,,
,,499,,,202.30913162231445,,,,,
,,499,,16.923904418945312,,,,,,
0,,499,,,,26108.7578125,-12.627236366271973,,,
,,549,,,190.98329544067383,,,,,
,,549,,1.8551349639892578,,,,,,
0,,549,,,,26225.71875,-12.144327163696289,,,
,,599,,,200.74152946472168,,,,,
,,599,,16.785860061645508,,,,,,
0,,599,,,,26049.3984375,-12.039987564086914,,,
,,649,,,190.7827854156494,,,,,
,,649,,1.8467903137207031,,,,,,
0,,649,,,,26189.81640625,-12.348139762878418,,,
,,699,,,191.38073921203613,,,,,
,,699,,16.2351131439209,,,,,,
0,,699,,,,26173.396484375,-12.20738697052002,,,
,,749,,,189.9127960205078,,,,,
,,749,,1.8804073333740234,,,,,,
0,,749,,,,26204.2578125,-12.13616943359375,,,
,,799,,,198.41933250427246,,,,,
,,799,,16.376256942749023,,,,,,
0,,799,,,,26110.5546875,-11.758747100830078,,,
,,849,,,206.83026313781738,,,,,
,,849,,2.1026134490966797,,,,,,
0,,849,,,,25892.140625,-12.182549476623535,,,
,,899,,,186.3703727722168,,,,,
,,899,,15.68913459777832,,,,,,
0,,899,,,,25958.48046875,-11.836325645446777,,,
,,949,,,201.25174522399902,,,,,
