epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,train/sll_loss,val/max_reward,val/reward
,0.0003,0,,,,,,,,,
,,49,,,172.12462425231934,,,,,,
,,49,,4.581689834594727,,,,,,,
0,,49,,,,2.9006619453430176,-6.190908432006836,-6.82719612121582,2.9006619453430176,,
,,99,,,170.45092582702637,,,,,,
,,99,,20.86663246154785,,,,,,,
0,,99,,,,2.894927501678467,-6.061087608337402,-6.646408557891846,2.894927501678467,,
,,149,,,165.53354263305664,,,,,,
,,149,,3.0879974365234375,,,,,,,
0,,149,,,,2.8963799476623535,-5.997575759887695,-6.576671123504639,2.8963799476623535,,
,,199,,,165.35568237304688,,,,,,
,,199,,21.59595489501953,,,,,,,
0,,199,,,,2.901874303817749,-6.020567893981934,-6.5092315673828125,2.901874303817749,,
,,249,,,168.69020462036133,,,,,,
,,249,,2.9964447021484375,,,,,,,
0,,249,,,,2.908466100692749,-5.92352294921875,-6.399626731872559,2.908466100692749,,
,,299,,,169.56233978271484,,,,,,
,,299,,20.60723304748535,,,,,,,
0,,299,,,,2.911010980606079,-5.894915580749512,-6.36967134475708,2.911010980606079,,
,,349,,,169.73519325256348,,,,,,
,,349,,2.6900768280029297,,,,,,,
0,,349,,,,2.9071671962738037,-5.896491050720215,-6.332380294799805,2.9071671962738037,,
,,399,,,163.6025905609131,,,,,,
,,399,,20.64037322998047,,,,,,,
0,,399,,,,2.9088823795318604,-5.900421619415283,-6.3393449783325195,2.9088823795318604,,
,,449,,,174.79419708251953,,,,,,
,,449,,2.988576889038086,,,,,,,
0,,449,,,,2.909379243850708,-5.912561416625977,-6.355009078979492,2.909379243850708,,
,,499,,,166.50056838989258,,,,,,
,,499,,26.241064071655273,,,,,,,
0,,499,,,,2.904798746109009,-5.8229475021362305,-6.240415096282959,2.904798746109009,,
,,549,,,167.37055778503418,,,,,,
,,549,,3.1044483184814453,,,,,,,
0,,549,,,,2.911043643951416,-5.896768569946289,-6.2929863929748535,2.911043643951416,,
,,599,,,161.31186485290527,,,,,,
,,599,,19.783973693847656,,,,,,,
0,,599,,,,2.911660671234131,-5.896601676940918,-6.295872211456299,2.911660671234131,,
,,649,,,160.60233116149902,,,,,,
,,649,,2.546548843383789,,,,,,,
0,,649,,,,2.9158782958984375,-5.851529598236084,-6.239443302154541,2.9158782958984375,,
,,699,,,159.47842597961426,,,,,,
,,699,,19.623994827270508,,,,,,,
0,,699,,,,2.9188053607940674,-5.844160079956055,-6.221488952636719,2.9188053607940674,,
,,749,,,158.22839736938477,,,,,,
,,749,,1.676797866821289,,,,,,,
0,,749,,,,2.9168310165405273,-5.8566789627075195,-6.239626884460449,2.9168310165405273,,
,,799,,,167.21177101135254,,,,,,
,,799,,19.20008659362793,,,,,,,
0,,799,,,,2.9155125617980957,-5.829673767089844,-6.225986003875732,2.9155125617980957,,
,,849,,,158.9641571044922,,,,,,
,,849,,1.7056465148925781,,,,,,,
0,,849,,,,2.913041830062866,-5.8533034324646,-6.232964992523193,2.913041830062866,,
