epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0001,0,,,,,,,,
,,9,,,7817.255973815918,,,,,
,,9,,31.12006187438965,,,,,,
0,,9,,,,0.6789829730987549,-98.03125,-102.5078125,,
,,19,,,7982.105731964111,,,,,
,,19,,31.073808670043945,,,,,,
0,,19,,,,0.6846802830696106,-96.21875,-100.44010925292969,,
,,29,,,7833.431959152222,,,,,
,,29,,29.671669006347656,,,,,,
0,,29,,,,0.686517596244812,-94.6875,-98.8515625,,
0,,31,,,,,,,-94.08599853515625,-97.56074523925781
,,32,478.25640749931335,,,,,,,
,0.0001,32,,,,,,,,
,,39,,,7828.313589096069,,,,,
,,39,,26.954174041748047,,,,,,
1,,39,,,,0.6864215731620789,-95.96875,-100.18880462646484,,
,,49,,,8052.295446395874,,,,,
,,49,,27.71902084350586,,,,,,
1,,49,,,,0.6865240335464478,-95.1875,-99.70964050292969,,
,,59,,,8206.151008605957,,,,,
,,59,,27.872323989868164,,,,,,
1,,59,,,,0.6887507438659668,-94.75,-98.79557800292969,,
1,,63,,,,,,,-93.85800170898438,-97.25938415527344
,,64,479.26036643981934,,,,,,,
,0.0001,64,,,,,,,,
,,69,,,7880.670785903931,,,,,
,,69,,26.757240295410156,,,,,,
2,,69,,,,0.686391294002533,-95.65625,-99.390625,,
,,79,,,7869.1956996917725,,,,,
,,79,,27.653932571411133,,,,,,
2,,79,,,,0.6899674534797668,-94.46875,-98.37630462646484,,
,,89,,,7997.354984283447,,,,,
,,89,,26.06511116027832,,,,,,
2,,89,,,,0.68785560131073,-94.84375,-98.796875,,
2,,95,,,,,,,-93.51100158691406,-96.90666961669922
,,96,475.3674144744873,,,,,,,
,0.0001,96,,,,,,,,
,,99,,,8239.835739135742,,,,,
,,99,,44.901132583618164,,,,,,
3,,99,,,,0.6891593933105469,-94.8125,-98.70573425292969,,
,,109,,,8083.228588104248,,,,,
,,109,,26.305675506591797,,,,,,
3,,109,,,,0.6884996294975281,-94.78125,-98.75521087646484,,
,,119,,,8609.514474868774,,,,,
,,119,,28.409481048583984,,,,,,
3,,119,,,,0.6878047585487366,-94.625,-98.89453125,,
3,,127,,,,,,,-93.51699829101562,-96.88716888427734
,,128,471.67285442352295,,,,,,,
,0.0001,128,,,,,,,,
,,129,,,8049.863576889038,,,,,
,,129,,30.231475830078125,,,,,,
4,,129,,,,0.6879966855049133,-94.8125,-99.00911712646484,,
,,139,,,8385.97822189331,,,,,
,,139,,28.461933135986328,,,,,,
4,,139,,,,0.6872747540473938,-95.59375,-99.71614837646484,,
,,149,,,8937.842607498169,,,,,
,,149,,35.653114318847656,,,,,,
4,,149,,,,0.6881807446479797,-94.09375,-98.2734375,,
,,159,,,8141.820192337036,,,,,
,,159,,27.65512466430664,,,,,,
