epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0003,0,,,,,,,,,,
,,49,,,261.84535026550293,,,,,,,
,,49,,3.9637088775634766,,,,,,,,
0,,49,,,,0.692428708076477,576.0,0.692428708076477,-12.57877254486084,-14.235756874084473,,
,,99,,,254.58598136901855,,,,,,,
,,99,,23.499011993408203,,,,,,,,
0,,99,,,,0.6921276450157166,576.0,0.6921276450157166,-12.237613677978516,-14.0487060546875,,
,,149,,,256.350040435791,,,,,,,
,,149,,4.03594970703125,,,,,,,,
0,,149,,,,0.6924088597297668,576.0,0.6924088597297668,-12.491584777832031,-14.218886375427246,,
,,199,,,270.8253860473633,,,,,,,
,,199,,22.014141082763672,,,,,,,,
0,,199,,,,0.6915351152420044,576.0,0.6915351152420044,-12.208138465881348,-14.339558601379395,,
,,249,,,273.01573753356934,,,,,,,
,,249,,4.174709320068359,,,,,,,,
0,,249,,,,0.6921337842941284,576.0,0.6921337842941284,-12.065608978271484,-14.118406295776367,,
,,299,,,278.0122756958008,,,,,,,
,,299,,21.794557571411133,,,,,,,,
0,,299,,,,0.6917259693145752,576.0,0.6917259693145752,-11.953521728515625,-14.047751426696777,,
,,349,,,258.99600982666016,,,,,,,
,,349,,3.818035125732422,,,,,,,,
0,,349,,,,0.6921430826187134,576.0,0.6921430826187134,-11.829401016235352,-13.329288482666016,,
,,399,,,267.500638961792,,,,,,,
,,399,,22.40777015686035,,,,,,,,
0,,399,,,,0.6925732493400574,576.0,0.6925732493400574,-11.822410583496094,-13.712529182434082,,
,,449,,,259.5560550689697,,,,,,,
,,449,,4.148721694946289,,,,,,,,
0,,449,,,,0.6920369267463684,576.0,0.6920369267463684,-11.689657211303711,-13.199258804321289,,
,,499,,,261.95430755615234,,,,,,,
,,499,,21.76642417907715,,,,,,,,
0,,499,,,,0.6923614740371704,576.0,0.6923614740371704,-12.15321159362793,-13.685507774353027,,
,,549,,,264.61315155029297,,,,,,,
,,549,,3.9052963256835938,,,,,,,,
0,,549,,,,0.6925590634346008,576.0,0.6925590634346008,-11.665780067443848,-13.114364624023438,,
,,599,,,261.5799903869629,,,,,,,
,,599,,23.796558380126953,,,,,,,,
0,,599,,,,0.6920445561408997,576.0,0.6920445561408997,-11.677825927734375,-13.16310977935791,,
,,649,,,286.7722511291504,,,,,,,
,,649,,4.411220550537109,,,,,,,,
0,,649,,,,0.6922056674957275,576.0,0.6922056674957275,-12.095715522766113,-13.668230056762695,,
,,699,,,253.94058227539062,,,,,,,
,,699,,21.62003517150879,,,,,,,,
0,,699,,,,0.6925551295280457,576.0,0.6925551295280457,-11.929017066955566,-13.359101295471191,,
,,749,,,250.23698806762695,,,,,,,
,,749,,3.9560794830322266,,,,,,,,
0,,749,,,,0.6926141381263733,576.0,0.6926141381263733,-11.811487197875977,-13.09300708770752,,
,,799,,,259.4573497772217,,,,,,,
,,799,,21.439075469970703,,,,,,,,
0,,799,,,,0.6924756169319153,576.0,0.6924756169319153,-11.522199630737305,-12.83456802368164,,
,,849,,,255.45263290405273,,,,,,,
,,849,,3.963470458984375,,,,,,,,
0,,849,,,,0.6924490332603455,576.0,0.6924490332603455,-12.028722763061523,-13.375306129455566,,
